system:index,NDVI,VH,VV,soil_moisture,.geo
89,0.2794305822136916,-14.388856562383468,-7.695702564796667,6.167559623718262,"{""type"":""Point"",""coordinates"":[73.41852954985255,18.180703220704757]}"
90,0.1558636568396817,-16.84899403545437,-7.703118187648635,6.629690647125244,"{""type"":""Point"",""coordinates"":[75.7964102612296,21.441610452113217]}"
91,0.2518171245820613,-17.10338419352475,-10.21907588052215,6.27127742767334,"{""type"":""Point"",""coordinates"":[77.77619293565597,17.272100195585008]}"
92,0.2261768279119112,-14.700327841845825,-8.03884328997233,25.399999618530273,"{""type"":""Point"",""coordinates"":[73.26498570495087,17.227059557969785]}"
93,0.1513599635825652,-17.981920428788047,-10.302727138653433,5.0948357582092285,"{""type"":""Point"",""coordinates"":[75.14757187179477,17.34985888751506]}"
94,0.2061592120647629,-15.976754715933609,-8.695512634277067,7.009338855743408,"{""type"":""Point"",""coordinates"":[73.65301385018805,20.48530119835609]}"
95,0.16870109546165885,-16.681959641118166,-8.380556040613845,6.079354763031006,"{""type"":""Point"",""coordinates"":[74.95271672672575,18.511253030225554]}"
96,0.17511520737327188,-17.411828400249252,-9.481047716844554,7.0044660568237305,"{""type"":""Point"",""coordinates"":[77.30217382911586,20.424260008807682]}"
97,0.22383331302546605,-17.546361894013703,-10.027519567143305,5.82068395614624,"{""type"":""Point"",""coordinates"":[74.82626371777641,19.698634145778776]}"
98,0.2032046886887263,-18.72899968586945,-11.616496101945714,7.479613304138184,"{""type"":""Point"",""coordinates"":[74.47535696443367,21.061200527696528]}"
99,0.21561822125813448,-17.11003900193498,-9.521670126458432,5.701972484588623,"{""type"":""Point"",""coordinates"":[74.72752916544107,19.158707569533863]}"
100,0.2348719865445711,-17.830243731301987,-10.557169223265559,5.7311201095581055,"{""type"":""Point"",""coordinates"":[73.7249246684238,20.248252687209433]}"
101,0.17954908574471865,-17.083653998709583,-8.878588497602651,7.650590896606445,"{""type"":""Point"",""coordinates"":[76.820798022922,19.83237675569062]}"
102,0.15669274688094734,-18.19605027902894,-10.420600540947166,5.8563127517700195,"{""type"":""Point"",""coordinates"":[73.46247145155398,19.872894391943092]}"
103,0.24449960509985333,-18.540339044981277,-10.36192187409633,6.75411319732666,"{""type"":""Point"",""coordinates"":[77.95185364864103,18.966961513421637]}"
104,0.22173377879374012,-17.64941244432458,-9.215280403303968,7.405848026275635,"{""type"":""Point"",""coordinates"":[77.63619976408992,20.922122696838986]}"
105,0.2662824650757777,-16.754828848574302,-9.89277163617867,7.923242568969727,"{""type"":""Point"",""coordinates"":[77.8941670248027,18.34490500710965]}"
106,0.20898184248142423,-18.372247016266453,-10.710036421953152,7.664360523223877,"{""type"":""Point"",""coordinates"":[75.63563252946601,18.18177503100199]}"
107,0.21756977466865168,-17.70621206424413,-9.638742487942414,6.751063346862793,"{""type"":""Point"",""coordinates"":[74.99870723046912,19.73568764639949]}"
108,0.2654676728356132,-15.299635962534255,-8.16030475233908,7.622553825378418,"{""type"":""Point"",""coordinates"":[73.45796610919736,19.576400159167413]}"
109,0.2661473434170538,-16.861420843972414,-9.95479821073752,6.170198917388916,"{""type"":""Point"",""coordinates"":[77.58246655467804,17.6693641385688]}"
110,0.17533866920745697,-17.87308984682761,-9.445514980563463,6.485377788543701,"{""type"":""Point"",""coordinates"":[75.24965005710357,18.784361421392326]}"
111,0.1369321343838786,-17.3825007984776,-9.728716062857329,6.325907230377197,"{""type"":""Point"",""coordinates"":[75.14122502336384,21.34514284084119]}"
112,0.2785555975998702,-15.582778935261514,-8.775171623315291,6.76450777053833,"{""type"":""Point"",""coordinates"":[73.57674233596293,19.385501848751506]}"
113,0.18511043324694387,-17.28090559444415,-9.704162635650608,6.437772750854492,"{""type"":""Point"",""coordinates"":[74.57293839467758,20.255486771762264]}"
114,0.20010327911179965,-17.164811906672174,-9.053274716575931,6.57774019241333,"{""type"":""Point"",""coordinates"":[75.39402734857352,20.06142166854675]}"
115,0.3624555146866816,-15.042407279133226,-8.278684322674144,7.792242050170898,"{""type"":""Point"",""coordinates"":[73.23512950202597,18.161360491605542]}"
116,0.18834315819086223,-18.480326370496627,-10.673984394799932,6.434589385986328,"{""type"":""Point"",""coordinates"":[76.37355724596613,21.03287050444265]}"
117,0.2701268672143574,-16.704316210602368,-9.108085207225496,7.628722190856934,"{""type"":""Point"",""coordinates"":[77.91055674057318,19.52043035003951]}"
118,0.16070121032002413,-18.794750740812248,-10.339674306870567,6.501811981201172,"{""type"":""Point"",""coordinates"":[75.65423581149082,20.9316180994576]}"
119,0.15273122633374572,-18.429407539572903,-10.180352975854694,6.703368663787842,"{""type"":""Point"",""coordinates"":[75.69550119381404,18.723464740207426]}"
120,0.12925538632748648,-18.771502068730232,-10.63660758059961,7.099462032318115,"{""type"":""Point"",""coordinates"":[76.73803876321423,19.80442630723849]}"
121,0.22095399285846978,-17.72904427288151,-9.331595372968312,6.661287307739258,"{""type"":""Point"",""coordinates"":[76.95873659702758,18.14875821750593]}"
122,0.27347728005156297,-16.50843250412177,-8.325132007323145,3.2506484985351562,"{""type"":""Point"",""coordinates"":[74.21099099747401,17.23319173024852]}"
123,0.1740108134676825,-17.785578516697644,-10.617527184818341,7.238323211669922,"{""type"":""Point"",""coordinates"":[76.03905265879472,20.03495825764757]}"
124,0.2922714606665151,-16.885269922084426,-9.090335090962366,6.435206413269043,"{""type"":""Point"",""coordinates"":[76.9962234195118,18.931381895963565]}"
125,0.21951148631958264,-17.152516849966155,-9.012160933195553,5.974351406097412,"{""type"":""Point"",""coordinates"":[76.87433039443577,17.5988761438246]}"
126,0.15327183248816456,-15.001464913899305,-6.650539113900349,5.804376125335693,"{""type"":""Point"",""coordinates"":[74.93056936922606,19.173576968860278]}"
127,0.16176264044943822,-19.06963564277726,-11.257985155772504,7.455732822418213,"{""type"":""Point"",""coordinates"":[75.93482837314029,19.55856285427157]}"
128,0.2079584775086505,-16.55280220276792,-8.736036003541502,4.854131698608398,"{""type"":""Point"",""coordinates"":[74.03254267362556,18.26745289468694]}"
129,0.22057464822864764,-17.614905129059572,-9.440809285347783,6.676471710205078,"{""type"":""Point"",""coordinates"":[76.90312910470065,21.065116790372695]}"
130,0.2869304144451085,-16.587910531049946,-8.538808206303939,6.902294158935547,"{""type"":""Point"",""coordinates"":[75.79492219319445,19.09229523909595]}"
131,0.33761528326745716,-16.727888207332377,-8.77229932344413,6.273951053619385,"{""type"":""Point"",""coordinates"":[74.02813868511389,20.215836527477084]}"
132,0.26693050673899205,-16.39608378850449,-9.167503255935639,7.430231094360352,"{""type"":""Point"",""coordinates"":[77.59555858718373,21.274317789348775]}"
133,0.24129027755970758,-16.36337293318541,-9.196518344203069,6.174557685852051,"{""type"":""Point"",""coordinates"":[75.818077952778,21.12478045865786]}"
134,0.2596346202994598,-17.219905093673912,-8.87766184129586,4.567728042602539,"{""type"":""Point"",""coordinates"":[74.71232908345432,18.254213672474325]}"
135,0.22900213293364854,-17.19766424367825,-9.99663756437634,5.052759647369385,"{""type"":""Point"",""coordinates"":[76.07570100072806,17.081442973333047]}"
136,0.3127184149373157,-12.493670465402795,-5.016863978978951,6.983965873718262,"{""type"":""Point"",""coordinates"":[73.11639202230333,18.913254455274416]}"
